food_pallet_id,hpc_pallet_id,distance,food_location_id,hpc_location_id
UINT0000092443,UINT0000089343,140.0,3301031,3301021
UINT0000092443,UINT0000090131,140.0,3301031,3301021
UINT0000092443,UINT0000091952,140.0,3301031,3301021
UINT0000092442,UINT0000089343,191.24036812346898,3301032,3301021
UINT0000092442,UINT0000090131,191.24036812346898,3301032,3301021
UINT0000092442,UINT0000091952,191.24036812346898,3301032,3301021
SYS16308612,SYS16313817,140.0,3381411,3381401
SYS16308612,SYS16313818,140.0,3381411,3381401
SYS16308612,SYS16313823,140.0,3381411,3381401
SYS16308612,SYS16313824,140.0,3381411,3381401
SYS16308612,SYS16313825,140.0,3381411,3381401
SYS16308612,SYS16313827,140.0,3381411,3381401
SYS16308612,SYS16313830,140.0,3381411,3381401
SYS16308612,SYS16313820,140.0,3381411,3381421
SYS16308612,SYS16313822,140.0,3381411,3381421
SYS16308612,SYS16313821,188.33735795109797,3381411,3381422
SYS16312812,SYS16313817,140.0,3381411,3381401
SYS16312812,SYS16313818,140.0,3381411,3381401
SYS16312812,SYS16313823,140.0,3381411,3381401
SYS16312812,SYS16313824,140.0,3381411,3381401
SYS16312812,SYS16313825,140.0,3381411,3381401
SYS16312812,SYS16313827,140.0,3381411,3381401
SYS16312812,SYS16313830,140.0,3381411,3381401
SYS16312812,SYS16313820,140.0,3381411,3381421
SYS16312812,SYS16313822,140.0,3381411,3381421
SYS16312812,SYS16313821,188.33735795109797,3381411,3381422
SYS16312813,SYS16313817,140.0,3381411,3381401
SYS16312813,SYS16313818,140.0,3381411,3381401
SYS16312813,SYS16313823,140.0,3381411,3381401
SYS16312813,SYS16313824,140.0,3381411,3381401
SYS16312813,SYS16313825,140.0,3381411,3381401
SYS16312813,SYS16313827,140.0,3381411,3381401
SYS16312813,SYS16313830,140.0,3381411,3381401
SYS16312813,SYS16313820,140.0,3381411,3381421
SYS16312813,SYS16313822,140.0,3381411,3381421
SYS16312813,SYS16313821,188.33735795109797,3381411,3381422
