food_pallet_id,hpc_pallet_id,distance,food_location_id,hpc_location_id
UINT0000086102A,SYS16266820,140.0,3251561,3251551
UINT0000086102A,SYS16267186,140.0,3251561,3251551
UINT0000086102A,SYS16267187,140.0,3251561,3251551
UINT0000086102A,SYS16267188,140.0,3251561,3251551
UINT0000086102A,SYS16278856,140.0,3251561,3251551
UINT0000086102A,SYS16278857,140.0,3251561,3251551
UINT0000086102A,SYS16280216,140.0,3251561,3251551
UINT0000086102A,SYS16267228,0.0,3251561,3251561
UINT0000086102A,SYS16267964,0.0,3251561,3251561
UINT0000086102A,SYS16267965,0.0,3251561,3251561
UINT0000086102A,SYS16268005,0.0,3251561,3251561
UINT0000086102A,SYS16268770,0.0,3251561,3251561
UINT0000086102A,SYS16270523,0.0,3251561,3251561
UINT0000086102A,SYS16270529,0.0,3251561,3251561
UINT0000086102A,SYS16270536,0.0,3251561,3251561
UINT0000086102A,SYS16282182,0.0,3251561,3251561
UINT0000086102A,SYS16265377,140.0,3251561,3251571
UINT0000086102A,SYS16265379,140.0,3251561,3251571
UINT0000086102A,SYS16265406,140.0,3251561,3251571
UINT0000086102A,SYS16279159,140.0,3251561,3251571
UINT0000086102A,SYS16279176,140.0,3251561,3251571
UINT0000086102A,SYS16282176,140.0,3251561,3251571
UINT0000086102A,SYS16282177,140.0,3251561,3251571
UINT0000086102A,SYS16282178,140.0,3251561,3251571
UINT0000086102A,SYS16284998,140.0,3251561,3251571
SYS16286175,SYS16267228,140.0,3251571,3251561
SYS16286175,SYS16267964,140.0,3251571,3251561
SYS16286175,SYS16267965,140.0,3251571,3251561
SYS16286175,SYS16268005,140.0,3251571,3251561
SYS16286175,SYS16268770,140.0,3251571,3251561
SYS16286175,SYS16270523,140.0,3251571,3251561
SYS16286175,SYS16270529,140.0,3251571,3251561
SYS16286175,SYS16270536,140.0,3251571,3251561
SYS16286175,SYS16282182,140.0,3251571,3251561
SYS16286175,SYS16265377,0.0,3251571,3251571
SYS16286175,SYS16265379,0.0,3251571,3251571
SYS16286175,SYS16265406,0.0,3251571,3251571
SYS16286175,SYS16279159,0.0,3251571,3251571
SYS16286175,SYS16279176,0.0,3251571,3251571
SYS16286175,SYS16282176,0.0,3251571,3251571
SYS16286175,SYS16282177,0.0,3251571,3251571
SYS16286175,SYS16282178,0.0,3251571,3251571
SYS16286175,SYS16284998,0.0,3251571,3251571
SYS16286176,SYS16267228,140.0,3251571,3251561
SYS16286176,SYS16267964,140.0,3251571,3251561
SYS16286176,SYS16267965,140.0,3251571,3251561
SYS16286176,SYS16268005,140.0,3251571,3251561
SYS16286176,SYS16268770,140.0,3251571,3251561
SYS16286176,SYS16270523,140.0,3251571,3251561
SYS16286176,SYS16270529,140.0,3251571,3251561
SYS16286176,SYS16270536,140.0,3251571,3251561
SYS16286176,SYS16282182,140.0,3251571,3251561
SYS16286176,SYS16265377,0.0,3251571,3251571
SYS16286176,SYS16265379,0.0,3251571,3251571
SYS16286176,SYS16265406,0.0,3251571,3251571
SYS16286176,SYS16279159,0.0,3251571,3251571
SYS16286176,SYS16279176,0.0,3251571,3251571
SYS16286176,SYS16282176,0.0,3251571,3251571
SYS16286176,SYS16282177,0.0,3251571,3251571
SYS16286176,SYS16282178,0.0,3251571,3251571
SYS16286176,SYS16284998,0.0,3251571,3251571
SYS16286177,SYS16267228,140.0,3251571,3251561
SYS16286177,SYS16267964,140.0,3251571,3251561
SYS16286177,SYS16267965,140.0,3251571,3251561
SYS16286177,SYS16268005,140.0,3251571,3251561
SYS16286177,SYS16268770,140.0,3251571,3251561
SYS16286177,SYS16270523,140.0,3251571,3251561
SYS16286177,SYS16270529,140.0,3251571,3251561
SYS16286177,SYS16270536,140.0,3251571,3251561
SYS16286177,SYS16282182,140.0,3251571,3251561
SYS16286177,SYS16265377,0.0,3251571,3251571
SYS16286177,SYS16265379,0.0,3251571,3251571
SYS16286177,SYS16265406,0.0,3251571,3251571
SYS16286177,SYS16279159,0.0,3251571,3251571
SYS16286177,SYS16279176,0.0,3251571,3251571
SYS16286177,SYS16282176,0.0,3251571,3251571
SYS16286177,SYS16282177,0.0,3251571,3251571
SYS16286177,SYS16282178,0.0,3251571,3251571
SYS16286177,SYS16284998,0.0,3251571,3251571
UINT0000089672,UINT0000086032,140.0,3322471,3322481
UINT0000089672,UINT0000086031,194.48650338776724,3322471,3322482
UINT0000089671,UINT0000086032,194.48650338776724,3322472,3322481
UINT0000089671,UINT0000086031,140.0,3322472,3322482
UINT0000088426,UINT0000086032,140.0,3322491,3322481
UINT0000088426,UINT0000086031,194.48650338776724,3322491,3322482
UINT0000088426,UINT0000086022,175.0,3322491,3323491
UINT0000088427,UINT0000086032,194.48650338776724,3322492,3322481
UINT0000088427,UINT0000086031,140.0,3322492,3322482
UINT0000088427,UINT0000086021,175.0,3322492,3323492
UINT0000088433,UINT0000086030,140.0,3323471,3323481
UINT0000088433,UINT0000086029,194.48650338776724,3323471,3323482
UINT0000088432,UINT0000086030,194.48650338776724,3323472,3323481
UINT0000088432,UINT0000086029,140.0,3323472,3323482
UINT0000086321,UINT0000086022,140.0,3323501,3323491
UINT0000086321,UINT0000086021,194.48650338776724,3323501,3323492
UINT0000086320,UINT0000086022,194.48650338776724,3323502,3323491
UINT0000086320,UINT0000086021,140.0,3323502,3323492
UINT0000088430,UINT0000086958,175.0,3324461,3325461
UINT0000088435,UINT0000086028,140.0,3324471,3324481
UINT0000088435,UINT0000086027,194.48650338776724,3324471,3324482
UINT0000088435,UINT0000086036,175.0,3324471,3325471
UINT0000088436,UINT0000086028,194.48650338776724,3324472,3324481
UINT0000088436,UINT0000086027,140.0,3324472,3324482
UINT0000088436,UINT0000086035,175.0,3324472,3325472
UINT0000086319,UINT0000086020,140.0,3324501,3324491
UINT0000086319,UINT0000086019,194.48650338776724,3324501,3324492
UINT0000086318,UINT0000086020,194.48650338776724,3324502,3324491
UINT0000086318,UINT0000086019,140.0,3324502,3324492
UINT0000086334,UINT0000086018,140.0,3325501,3325491
UINT0000086334,UINT0000086017,194.48650338776724,3325501,3325492
UINT0000086335,UINT0000086018,194.48650338776724,3325502,3325491
UINT0000086335,UINT0000086017,140.0,3325502,3325492
UINT0000086336,UINT0000086016,140.0,3326501,3326491
UINT0000086336,UINT0000086015,194.48650338776724,3326501,3326492
UINT0000086337,UINT0000086016,194.48650338776724,3326502,3326491
UINT0000086337,UINT0000086015,140.0,3326502,3326492
